time unit: ms, alt_iplrom:iplrom|address, alt_iplrom:iplrom|address[4], alt_iplrom:iplrom|address[3], alt_iplrom:iplrom|address[2], alt_iplrom:iplrom|address[1], alt_iplrom:iplrom|address[0], alt_iplrom:iplrom|clock, alt_iplrom:iplrom|q, alt_iplrom:iplrom|q[7], alt_iplrom:iplrom|q[6], alt_iplrom:iplrom|q[5], alt_iplrom:iplrom|q[4], alt_iplrom:iplrom|q[3], alt_iplrom:iplrom|q[2], alt_iplrom:iplrom|q[1], alt_iplrom:iplrom|q[0], fz80:Z80|reset_in, fz80:Z80|iorq, fz80:Z80|adr, fz80:Z80|adr[15], fz80:Z80|adr[14], fz80:Z80|adr[13], fz80:Z80|adr[12], fz80:Z80|adr[11], fz80:Z80|adr[10], fz80:Z80|adr[9], fz80:Z80|adr[8], fz80:Z80|adr[7], fz80:Z80|adr[6], fz80:Z80|adr[5], fz80:Z80|adr[4], fz80:Z80|adr[3], fz80:Z80|adr[2], fz80:Z80|adr[1], fz80:Z80|adr[0], fz80:Z80|data_in, fz80:Z80|data_in[7], fz80:Z80|data_in[6], fz80:Z80|data_in[5], fz80:Z80|data_in[4], fz80:Z80|data_in[3], fz80:Z80|data_in[2], fz80:Z80|data_in[1], fz80:Z80|data_in[0], fz80:Z80|data_out, fz80:Z80|data_out[7], fz80:Z80|data_out[6], fz80:Z80|data_out[5], fz80:Z80|data_out[4], fz80:Z80|data_out[3], fz80:Z80|data_out[2], fz80:Z80|data_out[1], fz80:Z80|data_out[0], 
0, XX, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, 
1714, 08, 0, 1, 0, 0, 0, 1, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, B0, 1, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 
1715, 09, 0, 1, 0, 0, 1, 0, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, B0, 1, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 
1716, 09, 0, 1, 0, 0, 1, 1, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, B0, 1, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 
1717, 09, 0, 1, 0, 0, 1, 0, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, B0, 1, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 
1718, 09, 0, 1, 0, 0, 1, 1, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, B0, 1, 0, 1, 1, 0, 0, 0, 0, FF, 1, 1, 1, 1, 1, 1, 1, 1, 
1719, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1720, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1721, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1722, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1723, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1724, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1725, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1726, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1727, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1728, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1729, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1730, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1731, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1732, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1733, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1734, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1735, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1736, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1737, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1738, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1739, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1740, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1741, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1742, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1743, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1744, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1745, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1746, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1747, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1748, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1749, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1750, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1751, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1752, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1753, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1754, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1755, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1756, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1757, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1758, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1759, 09, 0, 1, 0, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1760, 09, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1761, 0A, 0, 1, 0, 1, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1762, 0A, 0, 1, 0, 1, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1763, 0A, 0, 1, 0, 1, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1764, 0A, 0, 1, 0, 1, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1765, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1766, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1767, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1768, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1769, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1770, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1771, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1772, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1773, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1774, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1775, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1776, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1777, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1778, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1779, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1780, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1781, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1782, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1783, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1784, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1785, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1786, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1787, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1788, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1789, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1790, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1791, 0A, 0, 1, 0, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
1792, 0A, 0, 1, 0, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
