time unit: ms, alt_iplrom:iplrom|address, alt_iplrom:iplrom|address[4], alt_iplrom:iplrom|address[3], alt_iplrom:iplrom|address[2], alt_iplrom:iplrom|address[1], alt_iplrom:iplrom|address[0], alt_iplrom:iplrom|clock, alt_iplrom:iplrom|q, alt_iplrom:iplrom|q[7], alt_iplrom:iplrom|q[6], alt_iplrom:iplrom|q[5], alt_iplrom:iplrom|q[4], alt_iplrom:iplrom|q[3], alt_iplrom:iplrom|q[2], alt_iplrom:iplrom|q[1], alt_iplrom:iplrom|q[0], fz80:Z80|reset_in, fz80:Z80|iorq, fz80:Z80|adr, fz80:Z80|adr[15], fz80:Z80|adr[14], fz80:Z80|adr[13], fz80:Z80|adr[12], fz80:Z80|adr[11], fz80:Z80|adr[10], fz80:Z80|adr[9], fz80:Z80|adr[8], fz80:Z80|adr[7], fz80:Z80|adr[6], fz80:Z80|adr[5], fz80:Z80|adr[4], fz80:Z80|adr[3], fz80:Z80|adr[2], fz80:Z80|adr[1], fz80:Z80|adr[0], fz80:Z80|data_in, fz80:Z80|data_in[7], fz80:Z80|data_in[6], fz80:Z80|data_in[5], fz80:Z80|data_in[4], fz80:Z80|data_in[3], fz80:Z80|data_in[2], fz80:Z80|data_in[1], fz80:Z80|data_in[0], fz80:Z80|data_out, fz80:Z80|data_out[7], fz80:Z80|data_out[6], fz80:Z80|data_out[5], fz80:Z80|data_out[4], fz80:Z80|data_out[3], fz80:Z80|data_out[2], fz80:Z80|data_out[1], fz80:Z80|data_out[0], 
0, XX, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, 
29, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
30, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
31, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
32, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
33, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
34, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
35, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
36, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
37, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
38, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
39, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
40, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
41, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
42, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
43, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
44, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
45, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
46, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
47, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
48, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
49, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
50, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
51, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
52, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
53, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
54, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
55, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
56, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
57, 12, 1, 0, 0, 1, 0, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
58, 12, 1, 0, 0, 1, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
59, 13, 1, 0, 0, 1, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
60, 13, 1, 0, 0, 1, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
61, 13, 1, 0, 0, 1, 1, 0, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
62, 13, 1, 0, 0, 1, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 
63, 13, 1, 0, 0, 1, 1, 0, 79, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 79, 0, 1, 1, 1, 1, 0, 0, 1, 03, 0, 0, 0, 0, 0, 0, 1, 1, 
