what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339156472338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339156524919
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1339156561892
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339156563072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339163606967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339163607097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339163611590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164658990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164659065
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164660381
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339164668248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164670074
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164681344
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339164730351
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164734094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164739258
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339164739262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164742795
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164933709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164938992
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164940427
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339164952336
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339164955643
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339164961762
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339164969160
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165157471
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339165160337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165161766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165164988
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165171842
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339165174641
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165179926
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165208120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165321420
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165325106
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165354223
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339165354238
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165357176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165358814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165384487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165392022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165393439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165394451
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165400972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165407866
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165408952
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1339165412647
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165414910
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339165417532
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1339165418384
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1339165419740
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165426646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165457955
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339165457969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165459580
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165463319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165463370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165466622
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165469063
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339165479782
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165482189
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339165483966
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165485043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165536822
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165584237
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339165671202
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1339165676488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165759447
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165839680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165844515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339165854364
