what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339244461173
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244462724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244471272
executed,command,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.popupmenu.sync",1339244472773
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1339244472787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244485529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244487048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244490001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244634675
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244682838
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244684818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244698018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244730478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1339244730493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244733557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244735564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244777399
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339244790685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244800794
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1339244800809
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1339244804130
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1339244804144
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1339244806400
activated,perspective,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.CPerspective",1339244817951
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1339244820792
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1339244820878
closed,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1339244820880
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1339244821847
executed,command,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project.commands.bspEditor",1339244837226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244837504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244842779
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1339244848517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244848825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244850895
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1339244852911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339244892732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339245068082
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1339245072220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1339245072299
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1339245072325
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.216,"com.altera.debug.cdi.gdb.plugin",1339245072325
stopped,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1339245072325
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1339245072326
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1339245072326
